species_name,siteID,year,ba,trees,reg,dbh,growth,n_at_risk,n_died,mort,species
Abies grandis,5,1,0,0,0,,,0,0,,5
Tsuga heterophylla,5,1,0,0,0,,,0,0,,6
Tsuga mertensiana,5,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,5,1,0,0,0,,,0,0,,8
Alnus rubra,5,1,0,0,0,,,0,0,,9
Abies amabilis,5,1,0,0,0,,,0,0,,10
other,5,1,0,0,0,,,0,0,,11
Pseudotsuga menziesii,5,2,0.369373284269005,2,4.16666666666667,48.006,0.0941908496643351,7,0,0,1
Pinus ponderosa,5,2,0.134362355463586,1.5,0,31.46425,0.122374540380891,7,1,0.142857142857143,2
Pinus contorta,5,2,0,0,0,,,0,0,,3
Abies concolor,5,2,0,0,0,,,0,0,,4
Abies grandis,5,2,0,0,0,,,0,0,,5
Tsuga heterophylla,5,2,0,0,0,,,0,0,,6
Tsuga mertensiana,5,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,5,2,0,0,0,,,0,0,,8
Alnus rubra,5,2,0,0,0,,,0,0,,9
Abies amabilis,5,2,0,0,0,,,0,0,,10
other,5,2,0,0,0,,,0,0,,11
Pseudotsuga menziesii,6,1,0.00731685599816787,0.25,0,19.304,0.266666666666667,1,0,0,1
Pinus ponderosa,6,1,0.0652043851789638,0.75,0,34.9885,0.104096831969503,3,0,0,2
Pinus contorta,6,1,0,0,0,,,0,0,,3
Abies concolor,6,1,0,0,0,,,0,0,,4
Abies grandis,6,1,1.71891264872333,6.5,50,48.9481725274725,0.154367956557858,14,0,0,5
Tsuga heterophylla,6,1,0,0,0,,,0,0,,6
Tsuga mertensiana,6,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,6,1,0,0,0,,,0,0,,8
Alnus rubra,6,1,0,0,0,,,0,0,,9
Abies amabilis,6,1,0,0,0,,,0,0,,10
other,6,1,0.236276430734465,1.25,8.33333333333333,46.0756,0.0994547156028375,3,0,0,11
Pseudotsuga menziesii,6,2,0.0102608264517243,0.25,0,22.86,0.18421052631579,1,0,0,1
Pinus ponderosa,6,2,0.0447726728530549,0.25,0,47.752,0.105882352941177,2,1,0.5,2
Pinus contorta,6,2,0,0,0,,,0,0,,3
Abies concolor,6,2,0,0,0,,,0,0,,4
Abies grandis,6,2,1.67180532116033,6.75,8.33333333333333,50.4489357142857,0.118502884599134,25,0,0,5
Tsuga heterophylla,6,2,0,0,0,,,0,0,,6
Tsuga mertensiana,6,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,6,2,0,0,0,,,0,0,,8
Alnus rubra,6,2,0,0,0,,,0,0,,9
Abies amabilis,6,2,0,0,0,,,0,0,,10
other,6,2,0.264241616505856,1.25,0,48.8188,0.0643960882277409,5,0,0,11
Pseudotsuga menziesii,7,1,0.0577101815631118,0.5,0,35.941,0.126760563380282,2,0,0,1
Pinus ponderosa,7,1,0.164939618289724,0.5,0,63.627,0.0308574645508602,2,0,0,2
Pinus contorta,7,1,0,0,0,,,0,0,,3
Abies concolor,7,1,0,0,0,,,0,0,,4
Abies grandis,7,1,1.5742413295975,7.25,4.16666666666667,56.7021325757576,0.0916705507726853,28,0,0,5
Tsuga heterophylla,7,1,0,0,0,,,0,0,,6
Tsuga mertensiana,7,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,7,1,0,0,0,,,0,0,,8
Alnus rubra,7,1,0.0241243430798319,0.25,0,35.052,0.078125,1,0,0,9
Abies amabilis,7,1,0,0,0,,,0,0,,10
other,7,1,0,0,0,,,0,0,,11
Pseudotsuga menziesii,7,2,0.014775590090483,0.25,0,27.432,0.213483146067416,2,1,0.5,1
