siteID,year,temp,tempmax,tempmin,prec,precseas,precwarmq
1,0,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,0,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,0,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,0,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,1,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,1,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,1,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,1,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,2,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,2,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,2,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
1,2,3.16249990463257,23.3999996185303,-10.3000001907349,514,38.259204864502,70
2,0,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,0,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,0,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,0,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,1,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,1,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,1,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,1,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,2,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,2,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,2,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
2,2,4.90000009536743,26.2000007629395,-9.69999980926514,501,29.3882465362549,95
3,0,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,0,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,0,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,0,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,1,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,1,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,1,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,1,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,2,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,2,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,2,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
3,2,4.84999990463257,25.6000003814697,-9.19999980926514,464,29.9706802368164,91
4,0,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,0,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,0,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,0,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,1,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,1,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,1,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,1,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,2,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,2,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,2,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
4,2,10.6333332061768,26.6000003814697,1.20000004768372,1706,77.0115966796875,80
5,0,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,0,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,0,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,0,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,1,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,1,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,1,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,1,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,2,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,2,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,2,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
5,2,3.72499990463257,22.6000003814697,-8.80000019073486,1201,62.9864730834961,100
6,0,3.83749985694885,22.2999992370605,-7.90000009536743,1296,67.1806640625,100
