siteName,year,temp,tempmax,tempmin,prec,precseas,precwarmq
11_66410,2001,10.6916666030884,22.7999992370606,2.70000004768372,1880,70.15234375,103
11_66410,2011,10.6916666030884,22.7999992370606,2.70000004768372,1880,70.15234375,103
11_66410,2021,10.6916666030884,22.7999992370606,2.70000004768372,1880,70.15234375,103
17_65658,2002,6.48750019073486,26.1000003814697,-6.59999990463257,417,55.1001205444336,56
17_65658,2012,6.48750019073486,26.1000003814697,-6.59999990463257,417,55.1001205444336,56
17_65658,2022,6.48750019073486,26.1000003814697,-6.59999990463257,417,55.1001205444336,56
1_50638,2001,3.95833349227905,24.7000007629395,-10.3999996185303,547,30.0461158752441,101
1_50638,2011,3.95833349227905,24.7000007629395,-10.3999996185303,547,30.0461158752441,101
1_50638,2021,3.95833349227905,24.7000007629395,-10.3999996185303,547,30.0461158752441,101
23_98340,2002,5.85416650772095,25.8999996185303,-7.30000019073486,416,30.7211685180664,73
23_98340,2012,5.85416650772095,25.8999996185303,-7.30000019073486,416,30.7211685180664,73
23_98340,2022,5.85416650772095,25.8999996185303,-7.30000019073486,416,30.7211685180664,73
25_81184,2002,4.98333358764648,25.6000003814697,-8.39999961853027,380,34.5927810668945,53
25_81184,2012,4.98333358764648,25.6000003814697,-8.39999961853027,380,34.5927810668945,53
25_81184,2022,4.98333358764648,25.6000003814697,-8.39999961853027,380,34.5927810668945,53
33_95570,2001,10.3583335876465,27.6000003814697,0.100000001490116,1727,78.9177780151367,73
33_95570,2011,10.3583335876465,27.6000003814697,0.100000001490116,1727,78.9177780151367,73
33_95570,2021,10.3583335876465,27.6000003814697,0.100000001490116,1727,78.9177780151367,73
35_70911,2001,7.62083339691162,28.8999996185303,-7.09999990463257,500,57.7596893310547,43
35_70911,2011,7.62083339691162,28.8999996185303,-7.09999990463257,500,57.7596893310547,43
35_70911,2021,7.62083339691162,28.8999996185303,-7.09999990463257,500,57.7596893310547,43
35_90216,2001,4.31666660308838,23.2999992370605,-7.80000019073486,1254,68.6551284790039,90
35_90216,2011,4.31666660308838,23.2999992370605,-7.80000019073486,1254,68.6551284790039,90
35_90216,2021,4.31666660308838,23.2999992370605,-7.80000019073486,1254,68.6551284790039,90
