siteName,patchName,treeName,year,species_name,dbh,status,status_before,mort_cause,reg,mort,living,complete
17_84974,17_84974_1,17_84974_1_100,2001,Tsuga mertensiana,53.086,dead,"","",,,,TRUE
17_84974,17_84974_1,17_84974_1_100,2011,Tsuga mertensiana,52.07,dead,dead,"",,,,TRUE
17_84974,17_84974_1,17_84974_1_100,2021,Tsuga mertensiana,50.8,dead,dead,"",,,,TRUE
17_84974,17_84974_1,17_84974_1_101,2001,Tsuga mertensiana,49.276,dead,"","",,,,TRUE
17_84974,17_84974_1,17_84974_1_101,2011,Tsuga mertensiana,48.768,dead,dead,"",,,,TRUE
17_84974,17_84974_1,17_84974_1_101,2021,Tsuga mertensiana,48.26,dead,dead,"",,,,TRUE
17_84974,17_84974_1,17_84974_1_102,2001,Tsuga mertensiana,59.436,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_102,2011,Tsuga mertensiana,60.452,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_102,2021,Tsuga mertensiana,60.96,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_103,2001,Tsuga mertensiana,61.214,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_103,2011,Tsuga mertensiana,61.468,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_103,2021,Tsuga mertensiana,61.722,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_104,2001,Tsuga mertensiana,69.088,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_104,2011,Tsuga mertensiana,69.342,dead,new,disease,,TRUE,,TRUE
17_84974,17_84974_1,17_84974_1_104,2021,Tsuga mertensiana,69.342,dead,dead,"",,,,TRUE
17_84974,17_84974_1,17_84974_1_106,2011,Tsuga mertensiana,13.716,dead,"",disease,,,,TRUE
17_84974,17_84974_1,17_84974_1_106,2021,Tsuga mertensiana,13.462,dead,dead,"",,,,TRUE
17_84974,17_84974_1,17_84974_1_119,2011,Tsuga mertensiana,14.224,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_119,2021,Tsuga mertensiana,16.256,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_129,2021,Pinus contorta,16.51,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_130,2021,Pinus contorta,17.272,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_1,17_84974_1_131,2021,Pinus contorta,13.97,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_108,2001,Tsuga mertensiana,13.462,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_108,2011,Tsuga mertensiana,16.764,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_108,2021,Tsuga mertensiana,19.05,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_109,2001,Tsuga mertensiana,83.82,dead,"","",,,,TRUE
17_84974,17_84974_2,17_84974_2_109,2011,Tsuga mertensiana,84.328,dead,dead,"",,,,TRUE
17_84974,17_84974_2,17_84974_2_111,2001,Tsuga mertensiana,71.882,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_111,2011,Tsuga mertensiana,72.898,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_111,2021,Tsuga mertensiana,74.168,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_112,2001,Tsuga mertensiana,64.77,dead,"","",,,,TRUE
17_84974,17_84974_2,17_84974_2_112,2011,Tsuga mertensiana,61.214,dead,dead,"",,,,TRUE
17_84974,17_84974_2,17_84974_2_113,2001,Tsuga mertensiana,64.77,dead,"","",,,,TRUE
17_84974,17_84974_2,17_84974_2_113,2011,Tsuga mertensiana,64.262,dead,dead,"",,,,TRUE
17_84974,17_84974_2,17_84974_2_113,2021,Tsuga mertensiana,64.262,dead,dead,"",,,,TRUE
17_84974,17_84974_2,17_84974_2_114,2001,Tsuga mertensiana,65.532,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_114,2011,Tsuga mertensiana,67.056,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_114,2021,Tsuga mertensiana,68.072,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_115,2001,Tsuga mertensiana,84.328,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_115,2011,Tsuga mertensiana,85.852,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_115,2021,Tsuga mertensiana,87.376,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_116,2001,Tsuga mertensiana,60.96,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_116,2011,Tsuga mertensiana,62.484,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_116,2021,Tsuga mertensiana,64.008,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_118,2001,Tsuga mertensiana,81.28,dead,"","",,,,TRUE
17_84974,17_84974_2,17_84974_2_118,2011,Tsuga mertensiana,76.2,dead,dead,"",,,,TRUE
17_84974,17_84974_2,17_84974_2_118,2021,Tsuga mertensiana,76.2,dead,dead,"",,,,TRUE
17_84974,17_84974_2,17_84974_2_119,2001,Tsuga mertensiana,62.992,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_119,2011,Tsuga mertensiana,62.738,dead,new,disease,,TRUE,,TRUE
17_84974,17_84974_2,17_84974_2_119,2021,Tsuga mertensiana,62.484,dead,dead,"",,,,TRUE
17_84974,17_84974_2,17_84974_2_120,2001,Tsuga mertensiana,67.564,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_120,2011,Tsuga mertensiana,67.31,dead,new,disease,,TRUE,,TRUE
17_84974,17_84974_2,17_84974_2_120,2021,Tsuga mertensiana,66.802,dead,dead,"",,,,TRUE
17_84974,17_84974_2,17_84974_2_142,2011,Abies shastensis,13.208,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_142,2021,Abies shastensis,16.256,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_152,2021,Abies shastensis,13.97,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_2,17_84974_2_153,2021,Abies shastensis,13.97,dead,"",disease,,,,TRUE
17_84974,17_84974_3,17_84974_3_131,2001,Pinus contorta,24.13,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_131,2011,Pinus contorta,26.162,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_131,2021,Pinus contorta,27.432,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_132,2001,Pinus contorta,23.368,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_132,2011,Pinus contorta,26.162,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_132,2021,Pinus contorta,27.94,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_133,2001,Abies shastensis,19.05,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_133,2011,Abies shastensis,23.622,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_133,2021,Abies shastensis,29.21,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_134,2001,Pinus contorta,14.478,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_134,2011,Pinus contorta,16.51,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_134,2021,Pinus contorta,17.78,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_135,2001,Pinus contorta,29.972,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_135,2011,Pinus contorta,33.02,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_135,2021,Pinus contorta,35.814,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_136,2001,Pinus contorta,13.462,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_136,2011,Pinus contorta,15.24,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_136,2021,Pinus contorta,16.51,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_137,2001,Pinus contorta,24.384,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_137,2011,Pinus contorta,27.686,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_137,2021,Pinus contorta,29.972,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_138,2001,Pinus monticola,15.24,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_138,2011,Pinus monticola,17.272,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_138,2021,Pinus monticola,19.05,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_139,2001,Pinus monticola,16.764,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_139,2011,Pinus monticola,19.812,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_139,2021,Pinus monticola,22.352,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_140,2001,Pinus contorta,14.224,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_140,2011,Pinus contorta,16.256,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_140,2021,Pinus contorta,17.78,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_151,2011,Abies shastensis,18.796,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_152,2011,Abies shastensis,62.484,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_152,2021,Abies shastensis,65.024,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_3,17_84974_3_162,2021,Tsuga mertensiana,13.462,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_142,2001,Tsuga mertensiana,26.67,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_142,2011,Tsuga mertensiana,27.432,dead,new,disease,,TRUE,,TRUE
17_84974,17_84974_4,17_84974_4_142,2021,Tsuga mertensiana,26.67,dead,dead,"",,,,TRUE
17_84974,17_84974_4,17_84974_4_143,2001,Tsuga mertensiana,60.96,dead,"","",,,,TRUE
17_84974,17_84974_4,17_84974_4_144,2001,Abies shastensis,18.542,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_144,2011,Abies shastensis,25.4,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_144,2021,Abies shastensis,31.242,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_145,2001,Pinus contorta,23.876,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_145,2011,Pinus contorta,27.686,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_145,2021,Pinus contorta,31.496,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_146,2001,Abies shastensis,22.86,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_146,2011,Abies shastensis,29.464,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_146,2021,Abies shastensis,35.56,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_147,2001,Pinus contorta,18.796,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_147,2011,Pinus contorta,20.32,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_147,2021,Pinus contorta,22.098,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_148,2001,Tsuga mertensiana,14.478,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_148,2011,Tsuga mertensiana,17.78,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_148,2021,Tsuga mertensiana,20.32,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_149,2001,Abies shastensis,18.034,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_149,2011,Abies shastensis,24.384,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_149,2021,Abies shastensis,30.226,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_150,2001,Abies shastensis,22.352,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_150,2011,Abies shastensis,31.242,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_150,2021,Abies shastensis,36.322,alive,alive,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_152,2001,Tsuga mertensiana,76.454,dead,"","",,,,TRUE
17_84974,17_84974_4,17_84974_4_152,2011,Tsuga mertensiana,76.454,dead,dead,"",,,,TRUE
17_84974,17_84974_4,17_84974_4_163,2011,Abies shastensis,17.78,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_163,2021,Abies shastensis,22.86,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_164,2011,Tsuga mertensiana,14.732,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_164,2021,Tsuga mertensiana,17.78,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_165,2011,Abies shastensis,14.478,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_165,2021,Abies shastensis,17.78,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_166,2011,Tsuga mertensiana,13.97,new,"","",TRUE,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_166,2021,Tsuga mertensiana,16.764,alive,new,"",,,TRUE,TRUE
17_84974,17_84974_4,17_84974_4_176,2021,Abies shastensis,14.732,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_100,2001,Abies grandis,17.78,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_100,2011,Abies grandis,19.558,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_100,2021,Abies grandis,20.32,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_101,2001,Abies grandis,31.75,dead,"","",,,,TRUE
1_75669,1_75669_1,1_75669_1_102,2001,Abies grandis,13.97,dead,"","",,,,TRUE
1_75669,1_75669_1,1_75669_1_103,2001,Abies grandis,27.686,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_103,2011,Abies grandis,29.464,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_103,2021,Abies grandis,30.48,alive,alive,"",,,TRUE,TRUE
