siteName,patchName,treeName,year,species_name,dbh,status,status_before,mort_cause,reg,mort,living,complete
1_75669,1_75669_1,1_75669_1_104,2001,Abies grandis,46.482,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_104,2011,Abies grandis,51.308,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_104,2021,Abies grandis,55.118,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_105,2001,Abies grandis,39.116,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_105,2011,Abies grandis,42.164,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_105,2021,Abies grandis,44.45,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_106,2001,Abies grandis,24.13,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_106,2011,Abies grandis,25.4,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_106,2021,Abies grandis,26.67,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_107,2001,Abies grandis,46.228,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_107,2011,Abies grandis,48.006,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_107,2021,Abies grandis,49.784,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_108,2001,Abies grandis,28.448,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_108,2011,Abies grandis,32.004,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_108,2021,Abies grandis,34.036,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_109,2001,Abies grandis,21.082,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_109,2011,Abies grandis,24.13,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_109,2021,Abies grandis,24.384,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_110,2001,Abies grandis,25.146,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_110,2011,Abies grandis,26.416,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_110,2021,Abies grandis,27.178,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_111,2001,Abies grandis,57.658,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_111,2011,Abies grandis,59.944,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_111,2021,Abies grandis,65.532,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_112,2001,Abies grandis,19.812,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_112,2011,Abies grandis,22.86,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_112,2021,Abies grandis,24.892,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_113,2001,Pseudotsuga menziesii,49.276,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_113,2011,Pseudotsuga menziesii,49.276,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_113,2021,Pseudotsuga menziesii,49.276,dead,alive,insect,,TRUE,,TRUE
1_75669,1_75669_1,1_75669_1_114,2001,Pinus ponderosa,74.422,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_114,2011,Pinus ponderosa,75.946,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_114,2021,Pinus ponderosa,76.708,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_1,1_75669_1_124,2021,Abies grandis,65.278,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_120,2001,Abies grandis,37.084,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_120,2011,Abies grandis,46.99,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_120,2021,Abies grandis,55.88,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_121,2001,Alnus rubra,32.512,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_121,2011,Alnus rubra,35.052,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_121,2021,Alnus rubra,35.56,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_122,2001,Abies grandis,73.152,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_122,2011,Abies grandis,78.486,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_122,2021,Abies grandis,82.296,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_123,2001,Abies grandis,62.992,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_123,2011,Abies grandis,66.548,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_123,2021,Abies grandis,69.088,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_140,2011,Abies grandis,64.262,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_2,1_75669_2_140,2021,Abies grandis,66.548,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_132,2001,Abies grandis,82.296,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_132,2011,Abies grandis,87.63,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_132,2021,Abies grandis,90.932,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_133,2001,Pinus ponderosa,49.276,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_133,2011,Pinus ponderosa,51.308,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_133,2021,Pinus ponderosa,52.578,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_134,2001,Pinus ponderosa,35.56,dead,"","",,,,TRUE
1_75669,1_75669_3,1_75669_3_135,2001,Pseudotsuga menziesii,18.034,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_135,2011,Pseudotsuga menziesii,22.606,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_135,2021,Pseudotsuga menziesii,27.432,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_136,2001,Abies grandis,66.548,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_136,2011,Abies grandis,70.358,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_136,2021,Abies grandis,73.152,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_137,2001,Pseudotsuga menziesii,67.564,dead,"","",,,,TRUE
1_75669,1_75669_3,1_75669_3_137,2011,Pseudotsuga menziesii,64.516,dead,dead,"",,,,TRUE
1_75669,1_75669_3,1_75669_3_138,2001,Abies grandis,71.628,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_138,2011,Abies grandis,80.01,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_138,2021,Abies grandis,84.074,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_148,2021,Abies grandis,61.976,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_149,2021,Abies grandis,63.754,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_3,1_75669_3_150,2021,Abies grandis,96.52,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_139,2001,Abies grandis,46.228,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_139,2011,Abies grandis,47.752,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_139,2021,Abies grandis,49.276,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_140,2001,Abies grandis,44.958,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_140,2011,Abies grandis,49.022,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_140,2021,Abies grandis,51.562,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_141,2001,Abies grandis,15.748,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_141,2011,Abies grandis,17.78,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_141,2021,Abies grandis,20.066,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_142,2001,Abies grandis,66.294,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_142,2011,Abies grandis,68.326,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_142,2021,Abies grandis,69.088,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_143,2001,Abies grandis,17.018,dead,"","",,,,TRUE
1_75669,1_75669_4,1_75669_4_144,2001,Abies grandis,23.114,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_144,2011,Abies grandis,24.638,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_144,2021,Abies grandis,26.416,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_145,2001,Abies grandis,50.292,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_145,2011,Abies grandis,53.086,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_145,2021,Abies grandis,54.61,dead,alive,insect,,TRUE,,TRUE
1_75669,1_75669_4,1_75669_4_146,2001,Abies grandis,51.816,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_146,2011,Abies grandis,55.88,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_146,2021,Abies grandis,59.436,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_147,2001,Abies grandis,56.388,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_147,2011,Abies grandis,60.706,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_147,2021,Abies grandis,64.77,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_148,2001,Abies grandis,29.718,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_148,2011,Abies grandis,30.988,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_148,2021,Abies grandis,34.29,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_149,2001,Abies grandis,51.816,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_149,2011,Abies grandis,55.88,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_149,2021,Abies grandis,59.944,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_150,2001,Abies grandis,67.31,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_150,2011,Abies grandis,72.136,alive,new,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_150,2021,Abies grandis,77.724,alive,alive,"",,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_160,2021,Abies grandis,60.96,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_161,2021,Abies grandis,66.04,new,"","",TRUE,,TRUE,TRUE
1_75669,1_75669_4,1_75669_4_162,2021,Abies grandis,12.954,new,"","",TRUE,,TRUE,TRUE
1_88768,1_88768_1,1_88768_1_100,2002,Pinus contorta,15.748,new,"","",TRUE,,TRUE,TRUE
1_88768,1_88768_1,1_88768_1_101,2002,Pseudotsuga menziesii,14.224,new,"","",TRUE,,TRUE,TRUE
1_88768,1_88768_1,1_88768_1_101,2012,Pseudotsuga menziesii,16.256,alive,new,"",,,TRUE,TRUE
1_88768,1_88768_1,1_88768_1_101,2022,Pseudotsuga menziesii,19.05,alive,alive,"",,,TRUE,TRUE
1_88768,1_88768_1,1_88768_1_102,2002,Abies grandis,20.574,new,"","",TRUE,,TRUE,TRUE
1_88768,1_88768_1,1_88768_1_102,2012,Abies grandis,22.606,alive,new,"",,,TRUE,TRUE
