"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ","Art","dDg_dt","thin_N_frac","thin_G_frac","Dg_aus_rel"
3,110,406,24.6,25.9,25.3,28.2,42,314,41,2.4,27,29,9.4,645,5.9,"Buche",0.34,0.0917225950782998,0.0866425992779783,0.957446808510638
3,115,371,25.2,26.5,25.8,29.8,44,331,35,2.3,29,30,9.3,692,6,"Buche",0.32,0.0862068965517241,0.0818505338078292,0.973154362416107
3,120,340,25.8,27.1,26.3,31.3,46,348,30,2.3,31.1,30,9.3,738,6.2,"Buche",0.3,0.0810810810810811,0.0804195804195804,0.993610223642173
3,125,314,26.4,27.6,26.7,32.9,47.8,363,26,2.3,33.3,30,9.2,784,6.3,"Buche",0.32,0.0764705882352941,0.0793103448275862,1.01215805471125
3,130,292,26.9,28.1,27.1,34.4,49.6,379,23,2.2,35.2,30,9.1,830,6.4,"Buche",0.3,0.073015873015873,0.0750853242320819,1.02325581395349
3,135,271,27.4,28.5,27.5,35.9,51.3,393,20,2.2,37.1,31,9,875,6.5,"Buche",0.3,0.0687285223367698,0.0740740740740741,1.03342618384401
3,140,253,27.9,29,27.9,37.4,52.9,407,18,2.2,38.8,31,8.9,920,6.6,"Buche",0.3,0.0664206642066421,0.0730897009966777,1.03743315508021
3,145,237,28.3,29.4,28.3,39,54.4,421,16,2.1,40.7,31,8.8,964,6.6,"Buche",0.32,0.0632411067193676,0.069078947368421,1.04358974358974
3,150,222,28.7,29.7,28.7,40.5,55.9,434,15,2.1,42.5,31,8.7,1008,6.7,"Buche",0.3,0.0632911392405063,0.0681818181818182,1.04938271604938
4,45,4807,5.8,8,12.1,4.7,6.4,7,1559,2,3.7,2,2.7,1,0,"Buche",NA,0.244894753377317,0.141843971631206,0.787234042553192
4,50,3678,7.6,9.6,13.5,5.7,8.7,23,1129,2,4.1,3,3.7,20,0.5,"Buche",0.2,0.234865820678178,0.129032258064516,0.719298245614035
4,55,2858,9.1,11,14.8,6.6,10.9,42,819,2,4.7,6,4.7,43,0.9,"Buche",0.18,0.222735926026652,0.119047619047619,0.712121212121212
4,60,2262,10.6,12.4,16,7.8,13.3,61,596,2.1,5.4,8,5.4,70,1.1,"Buche",0.24,0.20853743876837,0.116022099447514,0.692307692307692
4,65,1794,12,13.7,17,9.3,15.5,79,468,2.2,5.1,11,5.9,99,1.6,"Buche",0.3,0.206896551724138,0.114583333333333,0.548387096774194
4,70,1456,13.4,15,18,11,17.8,99,338,2.1,6.4,13,6.3,131,2,"Buche",0.34,0.188405797101449,0.104477611940299,0.581818181818182
4,75,1253,14.5,16.1,18.9,12.1,20.1,119,205,2.2,10.1,14,6.7,165,2.2,"Buche",0.22,0.140603566529492,0.104265402843602,0.834710743801653
4,80,1084,15.6,17.2,19.7,13.3,22.4,137,170,2.3,11,17,6.9,198,2.4,"Buche",0.24,0.135566188197767,0.104545454545455,0.827067669172932
4,85,945,16.7,18.2,20.5,14.5,24.4,155,140,2.2,12.3,18,7,234,2.7,"Buche",0.24,0.129032258064516,0.0969162995594714,0.848275862068966
4,90,830,17.7,19,21.3,15.9,26.7,171,116,2.3,13.4,19,7.3,269,3.1,"Buche",0.28,0.12262156448203,0.0974576271186441,0.842767295597484
4,95,735,18.5,19.7,22,17.3,28.7,188,95,2.3,14.9,21,7.3,307,3.2,"Buche",0.28,0.114457831325301,0.0946502057613169,0.861271676300578
4,100,657,19.3,20.5,22.6,18.5,30.6,204,78,2.2,16.5,20,7.4,343,3.4,"Buche",0.24,0.106122448979592,0.0887096774193548,0.891891891891892
4,105,591,20,21.1,23.1,19.7,32.5,220,66,2.2,18.2,22,7.3,379,3.6,"Buche",0.24,0.100456621004566,0.0869565217391304,0.923857868020305
4,110,536,20.7,21.8,23.7,21.1,34.3,233,54,2.3,20.1,22,7.4,416,3.9,"Buche",0.28,0.0915254237288136,0.0884615384615385,0.95260663507109
4,115,490,21.2,22.4,24.2,22.4,36,247,46,2.2,21.8,24,7.3,453,3.9,"Buche",0.259999999999999,0.0858208955223881,0.0833333333333333,0.973214285714286
4,120,449,21.7,23,24.7,23.4,37.8,262,39,2.2,23.7,23,7.4,490,4.2,"Buche",0.2,0.0799180327868853,0.0817843866171004,1.01282051282051
4,125,415,22.3,23.4,25.1,24.7,39.3,273,34,2.3,25.9,23,7.4,527,4.3,"Buche",0.26,0.0757238307349666,0.083941605839416,1.04858299595142
4,130,387,22.8,23.9,25.5,25.8,40.8,287,30,2.1,27.7,24,7.3,564,4.4,"Buche",0.22,0.0719424460431655,0.0760869565217391,1.07364341085271
4,135,359,23.2,24.2,25.9,26.8,42.2,298,26,2.2,29.7,26,7.2,600,4.5,"Buche",0.2,0.0675324675324675,0.0782918149466192,1.10820895522388
4,140,336,23.7,24.7,26.3,27.8,43.6,309,23,2.2,31.3,26,7.2,637,4.6,"Buche",0.2,0.064066852367688,0.0771929824561404,1.12589928057554
4,145,316,24.1,25.1,26.7,28.9,44.8,321,20,2,33.3,26,7.1,673,4.5,"Buche",0.22,0.0595238095238095,0.0696864111498258,1.1522491349481
4,150,297,24.4,25.3,27.1,29.8,46,331,19,2.1,35,26,7.1,709,4.7,"Buche",0.18,0.060126582278481,0.0719178082191781,1.1744966442953
-1,15,1091,12,13.7,20.2,13.5,13.2,79,0,0,0,0,17,98,6.6,"Douglasie",NA,0,0,0
-1,20,524,17.2,18.9,27,20.9,19.9,188,567,2.8,7.7,20,26.1,230,11.5,"Douglasie",1.48,0.519706691109074,0.0939597315436242,0.368421052631579
-1,25,275,21.5,23.6,33.2,29.6,26.6,306,249,4.4,13.4,40,31.3,386,15.5,"Douglasie",1.74,0.475190839694656,0.117021276595745,0.452702702702703
-1,30,266,25.6,27.7,38.5,35.7,33.2,417,7,5.4,26.7,57,33.8,554,18.5,"Douglasie",1.22,0.0256410256410256,0.123006833712984,0.747899159663865
-1,35,269,28.8,31.1,42.8,40,39.6,517,0,6.1,41.1,71,34.8,727,20.9,"Douglasie",0.859999999999999,0,0.124744376278119,1.0275
-1,40,272,31.9,34.2,46.7,43.1,45.8,610,0,6.4,57.4,83,34.8,903,22.6,"Douglasie",0.62,0,0.120527306967985,1.33178654292343
