siteID,year,ba,dbh,trees,growth,mort,reg,species,species_name
97,2,0,,0,,,0,1,Abies amabilis
98,1,0,,0,,,0,1,Abies amabilis
98,2,0,,0,,,0,1,Abies amabilis
99,1,0,,0,,,0,1,Abies amabilis
99,2,0,,0,,,0,1,Abies amabilis
100,1,0,,0,,,0,1,Abies amabilis
100,2,0,,0,,,0,1,Abies amabilis
101,1,0,,0,,,0,1,Abies amabilis
101,2,0,,0,,,0,1,Abies amabilis
102,1,0,,0,,,0,1,Abies amabilis
102,2,0,,0,,,0,1,Abies amabilis
103,1,0,,0,,,0,1,Abies amabilis
103,2,0,,0,,,0,1,Abies amabilis
104,1,0,,0,,,0,1,Abies amabilis
104,2,0,,0,,,0,1,Abies amabilis
105,1,0,,0,,,0,1,Abies amabilis
105,2,0,,0,,,0,1,Abies amabilis
106,1,0,,0,,,0,1,Abies amabilis
106,2,0,,0,,,0,1,Abies amabilis
107,1,0,,0,,,0,1,Abies amabilis
107,2,0,,0,,,0,1,Abies amabilis
108,1,0,,0,,,0,1,Abies amabilis
108,2,0,,0,,,0,1,Abies amabilis
109,1,0,,0,,,0,1,Abies amabilis
109,2,0,,0,,,0,1,Abies amabilis
110,1,0,,0,,,0,1,Abies amabilis
110,2,0,,0,,,0,1,Abies amabilis
111,1,0,,0,,,0,1,Abies amabilis
111,2,0,,0,,,0,1,Abies amabilis
112,1,0,,0,,,0,1,Abies amabilis
112,2,0,,0,,,0,1,Abies amabilis
113,1,0,,0,,,0,1,Abies amabilis
113,2,0,,0,,,0,1,Abies amabilis
114,1,0,,0,,,0,1,Abies amabilis
114,2,0,,0,,,0,1,Abies amabilis
115,1,0,,0,,,0,1,Abies amabilis
115,2,0,,0,,,0,1,Abies amabilis
116,1,0,,0,,,0,1,Abies amabilis
116,2,0,,0,,,0,1,Abies amabilis
117,1,0,,0,,,0,1,Abies amabilis
117,2,0,,0,,,0,1,Abies amabilis
118,1,0,,0,,,0,1,Abies amabilis
118,2,0,,0,,,0,1,Abies amabilis
119,1,0,,0,,,0,1,Abies amabilis
119,2,0,,0,,,0,1,Abies amabilis
120,1,0,,0,,,0,1,Abies amabilis
120,2,0,,0,,,0,1,Abies amabilis
121,1,0,,0,,,0,1,Abies amabilis
121,2,0,,0,,,0,1,Abies amabilis
122,1,0,,0,,,0,1,Abies amabilis
122,2,0,,0,,,0,1,Abies amabilis
123,1,0,,0,,,0,1,Abies amabilis
123,2,0,,0,,,0,1,Abies amabilis
124,1,0,,0,,,0,1,Abies amabilis
124,2,0,,0,,,0,1,Abies amabilis
125,1,0,,0,,,0,1,Abies amabilis
125,2,0,,0,,,0,1,Abies amabilis
126,1,0,,0,,,0,1,Abies amabilis
126,2,0,,0,,,0,1,Abies amabilis
127,1,0,,0,,,0,1,Abies amabilis
127,2,0,,0,,,0,1,Abies amabilis
128,1,0.230815390878492,20.4671587301587,4.5,0.085875936798225,0.0416666666666667,4.16666666666667,1,Abies amabilis
128,2,0.302997138044629,19.9702208333333,7.25,0.113080795653392,0,37.5,1,Abies amabilis
129,1,0,,0,,,0,1,Abies amabilis
129,2,0,,0,,,0,1,Abies amabilis
130,1,0,,0,,,0,1,Abies amabilis
130,2,0,,0,,,0,1,Abies amabilis
131,1,0,,0,,,0,1,Abies amabilis
131,2,0,,0,,,0,1,Abies amabilis
132,1,0,,0,,,0,1,Abies amabilis
132,2,0,,0,,,0,1,Abies amabilis
133,1,0,,0,,,0,1,Abies amabilis
133,2,0,,0,,,0,1,Abies amabilis
134,1,0,,0,,,0,1,Abies amabilis
134,2,0,,0,,,0,1,Abies amabilis
135,1,0.121251299441938,38.0717777777778,1.25,0.132313242735891,0.166666666666667,4.16666666666667,1,Abies amabilis
135,2,0.164391107443601,34.3069333333333,2.25,0.140775637874045,0,12.5,1,Abies amabilis
136,1,0.214780632702452,19.4601041666667,6,0.10617372176605,0.03125,25,1,Abies amabilis
136,2,0.231469043526528,20.4082952380952,6,0.0824723243697806,0.111111111111111,16.6666666666667,1,Abies amabilis
137,1,0,,0,,,0,1,Abies amabilis
137,2,0,,0,,,0,1,Abies amabilis
138,1,0,,0,,,0,1,Abies amabilis
138,2,0,,0,,,0,1,Abies amabilis
139,1,0,,0,,,0,1,Abies amabilis
139,2,0,,0,,,0,1,Abies amabilis
140,1,0,,0,,,0,1,Abies amabilis
140,2,0,,0,,,0,1,Abies amabilis
141,1,0,,0,,,0,1,Abies amabilis
141,2,0,,0,,,0,1,Abies amabilis
142,1,0,,0,,,0,1,Abies amabilis
