variable,mean,sd
temp,6.64964515889845,2.33937155136354
tempmax,25.2263225506198,2.16951764806401
tempmin,-5.50941935411385,4.07984001944842
prec,1071.23483870967,676.8620384302
precseas,54.2505217989028,14.9487787119261
precwarmq,90.0696774193556,35.4492815047551
